"localidade","cases","death","date"
"China","80,894","3,237","2020/3/18 21:51"
"Italy","35,713","2,978","2020/3/18 21:51"
"Iran","17,361","1,135","2020/3/18 21:51"
"Spain","14,769","638","2020/3/18 21:51"
"Germany","12,327","28","2020/3/18 21:51"
"USA","9,269","151","2020/3/18 21:51"
"France","9,134","264","2020/3/18 21:51"
"S. Korea","8,413","84","2020/3/18 21:51"
"Switzerland","3,115","33","2020/3/18 21:51"
"UK","2,626","104","2020/3/18 21:51"
"Netherlands","2,051","58","2020/3/18 21:51"
"Austria","1,646","4","2020/3/18 21:51"
"Norway","1,590","6","2020/3/18 21:51"
"Belgium","1,486","14","2020/3/18 21:51"
"Sweden","1,301","10","2020/3/18 21:51"
"Denmark","1,057","4","2020/3/18 21:51"
"Japan","899","29","2020/3/18 21:51"
"Malaysia","790","2","2020/3/18 21:51"
"Canada","727","9","2020/3/18 21:51"
"Diamond Princess","712","7","2020/3/18 21:51"
"Portugal","642","2","2020/3/18 21:51"
"Australia","596","6","2020/3/18 21:51"
"Brazil","529","4","2020/3/18 21:51"
"Czechia","522","","2020/3/18 21:51"
"Qatar","452","","2020/3/18 21:51"
"Israel","433","","2020/3/18 21:51"
"Greece","418","5","2020/3/18 21:51"
"Ireland","366","2","2020/3/18 21:51"
"Finland","359","","2020/3/18 21:51"
"Singapore","313","","2020/3/18 21:51"
"Pakistan","307","2","2020/3/18 21:51"
"Poland","287","5","2020/3/18 21:51"
"Slovenia","286","1","2020/3/18 21:51"
"Romania","260","","2020/3/18 21:51"
"Estonia","258","","2020/3/18 21:51"
"Bahrain","255","1","2020/3/18 21:51"
"Iceland","250","","2020/3/18 21:51"
"Saudi Arabia","238","","2020/3/18 21:51"
"Chile","238","","2020/3/18 21:51"
"Indonesia","227","19","2020/3/18 21:51"
"Thailand","212","1","2020/3/18 21:51"
"Egypt","210","6","2020/3/18 21:51"
"Luxembourg","203","2","2020/3/18 21:51"
"Philippines","202","17","2020/3/18 21:51"
"Hong Kong","193","4","2020/3/18 21:51"
"Turkey","191","2","2020/3/18 21:51"
"India","169","3","2020/3/18 21:51"
"Ecuador","168","3","2020/3/18 21:51"
"Iraq","164","12","2020/3/18 21:51"
"Russia","147","","2020/3/18 21:51"
"Peru","145","","2020/3/18 21:51"
"Kuwait","142","","2020/3/18 21:51"
"San Marino","140","14","2020/3/18 21:51"
"Lebanon","133","4","2020/3/18 21:51"
"South Africa","116","","2020/3/18 21:51"
"UAE","113","","2020/3/18 21:51"
"Armenia","110","","2020/3/18 21:51"
"Panama","109","1","2020/3/18 21:51"
"Slovakia","105","","2020/3/18 21:51"
