"localidade","cases","death","date"
"China","80,928","3,245","2020/3/19 9:41"
"Italy","35,713","2,978","2020/3/19 9:41"
"Iran","18,407","1,284","2020/3/19 9:41"
"Spain","17,147","767","2020/3/19 9:41"
"Germany","13,083","31","2020/3/19 9:41"
"USA","9,464","155","2020/3/19 9:41"
"France","9,134","264","2020/3/19 9:41"
"S. Korea","8,565","91","2020/3/19 9:41"
"Switzerland","3,347","36","2020/3/19 9:41"
"UK","2,626","104","2020/3/19 9:41"
"Netherlands","2,051","58","2020/3/19 9:41"
"Austria","1,843","5","2020/3/19 9:41"
"Belgium","1,795","21","2020/3/19 9:41"
"Norway","1,683","6","2020/3/19 9:41"
"Sweden","1,331","10","2020/3/19 9:41"
"Denmark","1,132","6","2020/3/19 9:41"
"Japan","923","32","2020/3/19 9:41"
"Malaysia","900","2","2020/3/19 9:41"
"Portugal","785","3","2020/3/19 9:41"
"Canada","727","9","2020/3/19 9:41"
"Diamond Princess","712","7","2020/3/19 9:41"
"Australia","709","6","2020/3/19 9:41"
"Czechia","572","","2020/3/19 9:41"
"Brazil","529","4","2020/3/19 9:41"
"Israel","529","","2020/3/19 9:41"
"Qatar","452","","2020/3/19 9:41"
"Greece","418","6","2020/3/19 9:41"
"Finland","400","","2020/3/19 9:41"
"Pakistan","380","2","2020/3/19 9:41"
"Ireland","366","2","2020/3/19 9:41"
"Luxembourg","335","4","2020/3/19 9:41"
"Iceland","330","","2020/3/19 9:41"
"Poland","325","5","2020/3/19 9:41"
"Singapore","313","","2020/3/19 9:41"
"Indonesia","309","25","2020/3/19 9:41"
"Slovenia","286","1","2020/3/19 9:41"
"Romania","277","","2020/3/19 9:41"
"Thailand","272","1","2020/3/19 9:41"
"Bahrain","268","1","2020/3/19 9:41"
"Estonia","267","","2020/3/19 9:41"
"Saudi Arabia","238","","2020/3/19 9:41"
"Chile","238","","2020/3/19 9:41"
"Philippines","217","17","2020/3/19 9:41"
"Egypt","210","6","2020/3/19 9:41"
"Hong Kong","208","4","2020/3/19 9:41"
"India","197","4","2020/3/19 9:41"
"Turkey","191","2","2020/3/19 9:41"
"Ecuador","168","3","2020/3/19 9:41"
"Iraq","164","12","2020/3/19 9:41"
"Peru","155","","2020/3/19 9:41"
"South Africa","150","","2020/3/19 9:41"
"Lebanon","149","4","2020/3/19 9:41"
"Kuwait","148","","2020/3/19 9:41"
"Russia","147","1","2020/3/19 9:41"
"San Marino","140","14","2020/3/19 9:41"
"Armenia","122","","2020/3/19 9:41"
"Mexico","118","1","2020/3/19 9:41"
"UAE","113","","2020/3/19 9:41"
"Panama","109","1","2020/3/19 9:41"
"Taiwan","108","1","2020/3/19 9:41"
"Slovakia","105","","2020/3/19 9:41"
"Croatia","102","1","2020/3/19 9:41"
"Colombia","102","","2020/3/19 9:41"
"Argentina","97","3","2020/3/19 9:41"
"Serbia","97","","2020/3/19 9:41"
"Bulgaria","94","3","2020/3/19 9:41"
"Latvia","86","","2020/3/19 9:41"
"Algeria","82","8","2020/3/19 9:41"
"Uruguay","79","","2020/3/19 9:41"
"Vietnam","76","","2020/3/19 9:41"
"Hungary","73","1","2020/3/19 9:41"
"Brunei","73","","2020/3/19 9:41"
"Faeroe Islands","72","","2020/3/19 9:41"
"Costa Rica","69","1","2020/3/19 9:41"
"Albania","64","2","2020/3/19 9:41"
"Sri Lanka","59","","2020/3/19 9:41"
"Morocco","58","2","2020/3/19 9:41"
"Cyprus","58","","2020/3/19 9:41"
"Jordan","56","","2020/3/19 9:41"
"Andorra","53","","2020/3/19 9:41"
"Malta","53","","2020/3/19 9:41"
"Belarus","51","","2020/3/19 9:41"
"Palestine","47","","2020/3/19 9:41"
"Bosnia and Herzegovina","45","","2020/3/19 9:41"
"Kazakhstan","44","","2020/3/19 9:41"
"North Macedonia","43","","2020/3/19 9:41"
"Georgia","40","","2020/3/19 9:41"
"Oman","39","","2020/3/19 9:41"
"Tunisia","39","","2020/3/19 9:41"
"Cambodia","37","","2020/3/19 9:41"
"Moldova","36","1","2020/3/19 9:41"
"Lithuania","36","","2020/3/19 9:41"
"Senegal","36","","2020/3/19 9:41"
"Venezuela","36","","2020/3/19 9:41"
"Dominican Republic","34","2","2020/3/19 9:41"
"Azerbaijan","34","1","2020/3/19 9:41"
"Burkina Faso","33","1","2020/3/19 9:41"
"Guadeloupe","33","","2020/3/19 9:41"
"New Zealand","28","","2020/3/19 9:41"
"Liechtenstein","28","","2020/3/19 9:41"
"Martinique","23","1","2020/3/19 9:41"
"Uzbekistan","23","","2020/3/19 9:41"
"Afghanistan","22","","2020/3/19 9:41"
"Bangladesh","18","1","2020/3/19 9:41"
"Macao","17","","2020/3/19 9:41"
"Ukraine","16","2","2020/3/19 9:41"
"Jamaica","15","1","2020/3/19 9:41"
"Bolivia","15","","2020/3/19 9:41"
"French Guiana","15","","2020/3/19 9:41"
"DRC","14","","2020/3/19 9:41"
"Réunion","14","","2020/3/19 9:41"
"Cameroon","13","","2020/3/19 9:41"
"Maldives","13","","2020/3/19 9:41"
"Guam","12","","2020/3/19 9:41"
"Honduras","12","","2020/3/19 9:41"
"Cuba","11","1","2020/3/19 9:41"
"Paraguay","11","","2020/3/19 9:41"
"Rwanda","11","","2020/3/19 9:41"
"Monaco","9","","2020/3/19 9:41"
"Ivory Coast","9","","2020/3/19 9:41"
"Ghana","9","","2020/3/19 9:41"
"Trinidad and Tobago","9","","2020/3/19 9:41"
"Guatemala","8","1","2020/3/19 9:41"
"Nigeria","8","","2020/3/19 9:41"
"Gibraltar","8","","2020/3/19 9:41"
"Montenegro","8","","2020/3/19 9:41"
"Channel Islands","7","","2020/3/19 9:41"
"Kenya","7","","2020/3/19 9:41"
"Ethiopia","6","","2020/3/19 9:41"
"French Polynesia","6","","2020/3/19 9:41"
"Mongolia","6","","2020/3/19 9:41"
"Puerto Rico","6","","2020/3/19 9:41"
"Seychelles","6","","2020/3/19 9:41"
"Tanzania","6","","2020/3/19 9:41"
"Guyana","4","1","2020/3/19 9:41"
"Aruba","4","","2020/3/19 9:41"
"Equatorial Guinea","4","","2020/3/19 9:41"
"Curaçao","3","1","2020/3/19 9:41"
"Bahamas","3","","2020/3/19 9:41"
"Gabon","3","","2020/3/19 9:41"
"Kyrgyzstan","3","","2020/3/19 9:41"
"Mauritius","3","","2020/3/19 9:41"
"Mayotte","3","","2020/3/19 9:41"
"St. Barth","3","","2020/3/19 9:41"
"Saint Martin","3","","2020/3/19 9:41"
"U.S. Virgin Islands","3","","2020/3/19 9:41"
"Sudan","2","1","2020/3/19 9:41"
"Barbados","2","","2020/3/19 9:41"
"Benin","2","","2020/3/19 9:41"
"Bermuda","2","","2020/3/19 9:41"
"Greenland","2","","2020/3/19 9:41"
"Liberia","2","","2020/3/19 9:41"
"Mauritania","2","","2020/3/19 9:41"
"Namibia","2","","2020/3/19 9:41"
"New Caledonia","2","","2020/3/19 9:41"
"Saint Lucia","2","","2020/3/19 9:41"
"Zambia","2","","2020/3/19 9:41"
"Cayman Islands","1","1","2020/3/19 9:41"
"Nepal","1","","2020/3/19 9:41"
"Antigua and Barbuda","1","","2020/3/19 9:41"
"Bhutan","1","","2020/3/19 9:41"
"CAR","1","","2020/3/19 9:41"
"Congo","1","","2020/3/19 9:41"
"Djibouti","1","","2020/3/19 9:41"
"El Salvador","1","","2020/3/19 9:41"
"Fiji","1","","2020/3/19 9:41"
"Gambia","1","","2020/3/19 9:41"
"Guinea","1","","2020/3/19 9:41"
"Vatican City","1","","2020/3/19 9:41"
"Montserrat","1","","2020/3/19 9:41"
"Nicaragua","1","","2020/3/19 9:41"
"St. Vincent Grenadines","1","","2020/3/19 9:41"
"Sint Maarten","1","","2020/3/19 9:41"
"Somalia","1","","2020/3/19 9:41"
"Suriname","1","","2020/3/19 9:41"
"Eswatini","1","","2020/3/19 9:41"
"Togo","1","","2020/3/19 9:41"
"Total:","225,724","9,278","2020/3/19 9:41"
"China","80,894","3,237","2020/3/19 9:41"
"Italy","35,713","2,978","2020/3/19 9:41"
