"localidade","cases","death","date"
"China","80,928","3,245","2020/3/19 9:43"
"Italy","35,713","2,978","2020/3/19 9:43"
"Iran","18,407","1,284","2020/3/19 9:43"
"Spain","17,147","767","2020/3/19 9:43"
"Germany","13,083","31","2020/3/19 9:43"
"USA","9,464","155","2020/3/19 9:43"
"France","9,134","264","2020/3/19 9:43"
"S. Korea","8,565","91","2020/3/19 9:43"
"Switzerland","3,347","36","2020/3/19 9:43"
"UK","2,626","104","2020/3/19 9:43"
"Netherlands","2,051","58","2020/3/19 9:43"
"Austria","1,843","5","2020/3/19 9:43"
"Belgium","1,795","21","2020/3/19 9:43"
"Norway","1,683","6","2020/3/19 9:43"
"Sweden","1,331","10","2020/3/19 9:43"
"Denmark","1,132","6","2020/3/19 9:43"
"Japan","923","32","2020/3/19 9:43"
"Malaysia","900","2","2020/3/19 9:43"
"Portugal","785","3","2020/3/19 9:43"
"Canada","727","9","2020/3/19 9:43"
"Diamond Princess","712","7","2020/3/19 9:43"
"Australia","709","6","2020/3/19 9:43"
"Czechia","572","","2020/3/19 9:43"
"Brazil","529","4","2020/3/19 9:43"
"Israel","529","","2020/3/19 9:43"
"Qatar","452","","2020/3/19 9:43"
"Greece","418","6","2020/3/19 9:43"
"Finland","400","","2020/3/19 9:43"
"Pakistan","380","2","2020/3/19 9:43"
"Ireland","366","2","2020/3/19 9:43"
"Luxembourg","335","4","2020/3/19 9:43"
"Iceland","330","","2020/3/19 9:43"
"Poland","325","5","2020/3/19 9:43"
"Singapore","313","","2020/3/19 9:43"
"Indonesia","309","25","2020/3/19 9:43"
"Slovenia","286","1","2020/3/19 9:43"
"Romania","277","","2020/3/19 9:43"
"Thailand","272","1","2020/3/19 9:43"
"Bahrain","268","1","2020/3/19 9:43"
"Estonia","267","","2020/3/19 9:43"
"Saudi Arabia","238","","2020/3/19 9:43"
"Chile","238","","2020/3/19 9:43"
"Philippines","217","17","2020/3/19 9:43"
"Egypt","210","6","2020/3/19 9:43"
"Hong Kong","208","4","2020/3/19 9:43"
"India","197","4","2020/3/19 9:43"
"Turkey","191","2","2020/3/19 9:43"
"Ecuador","168","3","2020/3/19 9:43"
"Iraq","164","12","2020/3/19 9:43"
"Peru","155","","2020/3/19 9:43"
"South Africa","150","","2020/3/19 9:43"
"Lebanon","149","4","2020/3/19 9:43"
"Kuwait","148","","2020/3/19 9:43"
"Russia","147","1","2020/3/19 9:43"
"San Marino","140","14","2020/3/19 9:43"
"Armenia","122","","2020/3/19 9:43"
"Mexico","118","1","2020/3/19 9:43"
"UAE","113","","2020/3/19 9:43"
"Panama","109","1","2020/3/19 9:43"
"Taiwan","108","1","2020/3/19 9:43"
"Slovakia","105","","2020/3/19 9:43"
"Croatia","102","1","2020/3/19 9:43"
"Colombia","102","","2020/3/19 9:43"
"Argentina","97","3","2020/3/19 9:43"
"Serbia","97","","2020/3/19 9:43"
"Bulgaria","94","3","2020/3/19 9:43"
"Latvia","86","","2020/3/19 9:43"
"Algeria","82","8","2020/3/19 9:43"
"Uruguay","79","","2020/3/19 9:43"
"Vietnam","76","","2020/3/19 9:43"
"Hungary","73","1","2020/3/19 9:43"
"Brunei","73","","2020/3/19 9:43"
"Faeroe Islands","72","","2020/3/19 9:43"
"Costa Rica","69","1","2020/3/19 9:43"
"Albania","64","2","2020/3/19 9:43"
"Sri Lanka","59","","2020/3/19 9:43"
"Morocco","58","2","2020/3/19 9:43"
"Cyprus","58","","2020/3/19 9:43"
"Jordan","56","","2020/3/19 9:43"
"Andorra","53","","2020/3/19 9:43"
"Malta","53","","2020/3/19 9:43"
"Belarus","51","","2020/3/19 9:43"
"Palestine","47","","2020/3/19 9:43"
"Bosnia and Herzegovina","45","","2020/3/19 9:43"
"Kazakhstan","44","","2020/3/19 9:43"
"North Macedonia","43","","2020/3/19 9:43"
"Georgia","40","","2020/3/19 9:43"
"Oman","39","","2020/3/19 9:43"
"Tunisia","39","","2020/3/19 9:43"
"Cambodia","37","","2020/3/19 9:43"
"Moldova","36","1","2020/3/19 9:43"
"Lithuania","36","","2020/3/19 9:43"
"Senegal","36","","2020/3/19 9:43"
"Venezuela","36","","2020/3/19 9:43"
"Dominican Republic","34","2","2020/3/19 9:43"
"Azerbaijan","34","1","2020/3/19 9:43"
"Burkina Faso","33","1","2020/3/19 9:43"
"Guadeloupe","33","","2020/3/19 9:43"
"New Zealand","28","","2020/3/19 9:43"
"Liechtenstein","28","","2020/3/19 9:43"
"Martinique","23","1","2020/3/19 9:43"
"Uzbekistan","23","","2020/3/19 9:43"
"Afghanistan","22","","2020/3/19 9:43"
"Bangladesh","18","1","2020/3/19 9:43"
"Macao","17","","2020/3/19 9:43"
"Ukraine","16","2","2020/3/19 9:43"
"Jamaica","15","1","2020/3/19 9:43"
"Bolivia","15","","2020/3/19 9:43"
"French Guiana","15","","2020/3/19 9:43"
"DRC","14","","2020/3/19 9:43"
"Réunion","14","","2020/3/19 9:43"
"Cameroon","13","","2020/3/19 9:43"
"Maldives","13","","2020/3/19 9:43"
"Guam","12","","2020/3/19 9:43"
"Honduras","12","","2020/3/19 9:43"
"Cuba","11","1","2020/3/19 9:43"
"Paraguay","11","","2020/3/19 9:43"
"Rwanda","11","","2020/3/19 9:43"
"Monaco","9","","2020/3/19 9:43"
"Ivory Coast","9","","2020/3/19 9:43"
"Ghana","9","","2020/3/19 9:43"
"Trinidad and Tobago","9","","2020/3/19 9:43"
"Guatemala","8","1","2020/3/19 9:43"
"Nigeria","8","","2020/3/19 9:43"
"Gibraltar","8","","2020/3/19 9:43"
"Montenegro","8","","2020/3/19 9:43"
"Channel Islands","7","","2020/3/19 9:43"
"Kenya","7","","2020/3/19 9:43"
"Ethiopia","6","","2020/3/19 9:43"
"French Polynesia","6","","2020/3/19 9:43"
"Mongolia","6","","2020/3/19 9:43"
"Puerto Rico","6","","2020/3/19 9:43"
"Seychelles","6","","2020/3/19 9:43"
"Tanzania","6","","2020/3/19 9:43"
"Guyana","4","1","2020/3/19 9:43"
"Aruba","4","","2020/3/19 9:43"
"Equatorial Guinea","4","","2020/3/19 9:43"
"Curaçao","3","1","2020/3/19 9:43"
"Bahamas","3","","2020/3/19 9:43"
"Gabon","3","","2020/3/19 9:43"
"Kyrgyzstan","3","","2020/3/19 9:43"
"Mauritius","3","","2020/3/19 9:43"
"Mayotte","3","","2020/3/19 9:43"
"St. Barth","3","","2020/3/19 9:43"
"Saint Martin","3","","2020/3/19 9:43"
"U.S. Virgin Islands","3","","2020/3/19 9:43"
"Sudan","2","1","2020/3/19 9:43"
"Barbados","2","","2020/3/19 9:43"
"Benin","2","","2020/3/19 9:43"
"Bermuda","2","","2020/3/19 9:43"
"Greenland","2","","2020/3/19 9:43"
"Liberia","2","","2020/3/19 9:43"
"Mauritania","2","","2020/3/19 9:43"
"Namibia","2","","2020/3/19 9:43"
"New Caledonia","2","","2020/3/19 9:43"
"Saint Lucia","2","","2020/3/19 9:43"
"Zambia","2","","2020/3/19 9:43"
"Cayman Islands","1","1","2020/3/19 9:43"
"Nepal","1","","2020/3/19 9:43"
"Antigua and Barbuda","1","","2020/3/19 9:43"
"Bhutan","1","","2020/3/19 9:43"
"CAR","1","","2020/3/19 9:43"
"Congo","1","","2020/3/19 9:43"
"Djibouti","1","","2020/3/19 9:43"
"El Salvador","1","","2020/3/19 9:43"
"Fiji","1","","2020/3/19 9:43"
"Gambia","1","","2020/3/19 9:43"
"Guinea","1","","2020/3/19 9:43"
"Vatican City","1","","2020/3/19 9:43"
"Montserrat","1","","2020/3/19 9:43"
"Nicaragua","1","","2020/3/19 9:43"
"St. Vincent Grenadines","1","","2020/3/19 9:43"
"Sint Maarten","1","","2020/3/19 9:43"
"Somalia","1","","2020/3/19 9:43"
"Suriname","1","","2020/3/19 9:43"
"Eswatini","1","","2020/3/19 9:43"
"Togo","1","","2020/3/19 9:43"
"Total:","225,724","9,278","2020/3/19 9:43"
"China","80,894","3,237","2020/3/19 9:43"
"Italy","35,713","2,978","2020/3/19 9:43"
"Iran","17,361","1,135","2020/3/19 9:43"
"Spain","14,769","638","2020/3/19 9:43"
"Germany","12,327","28","2020/3/19 9:43"
"USA","9,259","150","2020/3/19 9:43"
"France","9,134","264","2020/3/19 9:43"
"S. Korea","8,413","84","2020/3/19 9:43"
"Switzerland","3,115","33","2020/3/19 9:43"
"UK","2,626","104","2020/3/19 9:43"
"Netherlands","2,051","58","2020/3/19 9:43"
"Austria","1,646","4","2020/3/19 9:43"
"Norway","1,591","6","2020/3/19 9:43"
"Belgium","1,486","14","2020/3/19 9:43"
"Sweden","1,301","10","2020/3/19 9:43"
"Denmark","1,057","4","2020/3/19 9:43"
"Japan","914","29","2020/3/19 9:43"
"Malaysia","790","2","2020/3/19 9:43"
"Canada","727","9","2020/3/19 9:43"
"Diamond Princess","712","7","2020/3/19 9:43"
"Portugal","642","2","2020/3/19 9:43"
"Australia","596","6","2020/3/19 9:43"
"Brazil","529","4","2020/3/19 9:43"
"Czechia","522","","2020/3/19 9:43"
"Qatar","452","","2020/3/19 9:43"
"Israel","433","","2020/3/19 9:43"
"Greece","418","5","2020/3/19 9:43"
"Ireland","366","2","2020/3/19 9:43"
"Finland","359","","2020/3/19 9:43"
