"localidade","cases","death","date"
"China","80,894","3,237","2020/3/18 20:33"
"Italy","35,713","2,978","2020/3/18 20:33"
"Iran","17,361","1,135","2020/3/18 20:33"
"Spain","14,769","638","2020/3/18 20:33"
"Germany","12,327","28","2020/3/18 20:33"
"USA","9,238","150","2020/3/18 20:33"
"France","9,134","264","2020/3/18 20:33"
"S. Korea","8,413","84","2020/3/18 20:33"
"Switzerland","3,115","33","2020/3/18 20:33"
"UK","2,626","104","2020/3/18 20:33"
"Netherlands","2,051","58","2020/3/18 20:33"
"Austria","1,646","4","2020/3/18 20:33"
"Norway","1,590","6","2020/3/18 20:33"
"Belgium","1,486","14","2020/3/18 20:33"
"Sweden","1,292","10","2020/3/18 20:33"
"Denmark","1,057","4","2020/3/18 20:33"
"Japan","899","29","2020/3/18 20:33"
"Malaysia","790","2","2020/3/18 20:33"
"Canada","727","9","2020/3/18 20:33"
"Diamond Princess","712","7","2020/3/18 20:33"
"Portugal","642","2","2020/3/18 20:33"
"Australia","596","6","2020/3/18 20:33"
"Czechia","522","","2020/3/18 20:33"
"Brazil","509","4","2020/3/18 20:33"
"Qatar","452","","2020/3/18 20:33"
"Israel","433","","2020/3/18 20:33"
"Greece","418","5","2020/3/18 20:33"
"Ireland","366","2","2020/3/18 20:33"
"Finland","359","","2020/3/18 20:33"
"Singapore","313","","2020/3/18 20:33"
"Pakistan","307","2","2020/3/18 20:33"
"Poland","287","5","2020/3/18 20:33"
"Slovenia","286","1","2020/3/18 20:33"
"Romania","260","","2020/3/18 20:33"
"Estonia","258","","2020/3/18 20:33"
"Bahrain","255","1","2020/3/18 20:33"
"Iceland","250","","2020/3/18 20:33"
"Saudi Arabia","238","","2020/3/18 20:33"
"Chile","238","","2020/3/18 20:33"
"Indonesia","227","19","2020/3/18 20:33"
"Thailand","212","1","2020/3/18 20:33"
"Egypt","210","6","2020/3/18 20:33"
"Luxembourg","203","2","2020/3/18 20:33"
"Philippines","202","17","2020/3/18 20:33"
"Turkey","191","2","2020/3/18 20:33"
"Hong Kong","181","4","2020/3/18 20:33"
"India","169","3","2020/3/18 20:33"
"Ecuador","168","3","2020/3/18 20:33"
"Iraq","164","12","2020/3/18 20:33"
"Russia","147","","2020/3/18 20:33"
"Peru","145","","2020/3/18 20:33"
"Kuwait","142","","2020/3/18 20:33"
"San Marino","140","14","2020/3/18 20:33"
"Lebanon","133","4","2020/3/18 20:33"
"South Africa","116","","2020/3/18 20:33"
"UAE","113","","2020/3/18 20:33"
"Armenia","110","","2020/3/18 20:33"
"Slovakia","105","","2020/3/18 20:33"
"Taiwan","100","1","2020/3/18 20:33"
